iter	RMSE
0	11327.11101
1	11003.3197
2	10695.2339
3	10408.25977
4	10106.7323
5	9823.598429
6	9563.341911
7	9313.03602
8	9067.060144
9	8861.048615
10	8649.801007
11	8446.627695
12	8254.343384
13	8058.040873
14	7880.684556
15	7704.605535
16	7520.382517
17	7354.74796
18	7184.549187
19	7040.446063
20	6896.292151
21	6768.657108
22	6667.733409
23	6551.651993
24	6443.11837
25	6337.697794
26	6227.410441
27	6121.927109
28	6017.755916
29	5928.709264
30	5833.44885
31	5747.292705
32	5664.243014
33	5594.701716
34	5518.517002
35	5447.780345
36	5383.515027
37	5319.602727
38	5262.07967
39	5208.430687
40	5172.712058
41	5124.437937
42	5078.35328
43	5034.052539
44	4994.046418
45	4947.069383
46	4906.656111
47	4874.41465
48	4833.46841
49	4795.778813
50	4760.973817
51	4727.560588
52	4699.990697
53	4674.637581
54	4649.783714
55	4623.576647
56	4602.601702
57	4582.957871
58	4571.692466
59	4548.944917
60	4526.818184
61	4511.028424
62	4488.863828
63	4471.094154
64	4453.806624
65	4440.470269
66	4430.321365
67	4415.107481
68	4404.885044
69	4390.542184
70	4376.074154
71	4364.4374
72	4353.173696
73	4341.584933
74	4330.021679
75	4317.439217
76	4303.626385
77	4294.203897
78	4283.875444
79	4276.215164
80	4269.504636
81	4258.635918
82	4249.740168
83	4243.414984
84	4240.655178
85	4232.173208
86	4227.925097
87	4219.341922
88	4217.783074
89	4212.606869
90	4208.738564
91	4202.747694
92	4196.261383
93	4186.380708
94	4180.61267
95	4178.373818
96	4176.609
97	4173.585299
98	4166.39853
99	4158.447668
100	4153.319682
101	4144.916018
102	4139.217503
103	4134.599653
104	4129.950087
105	4126.050245
106	4118.153071
107	4112.877856
108	4108.770901
109	4102.280734
110	4097.819708
111	4093.534561
112	4089.133515
113	4085.027921
114	4080.762597
115	4077.629842
116	4072.169288
117	4069.071485
118	4065.915725
119	4064.303082
120	4061.704038
121	4058.075154
122	4054.764569
123	4051.559884
124	4047.553525
125	4043.399687
126	4037.938671
127	4033.480545
128	4030.469219
129	4027.459482
130	4023.664268
131	4018.276325
132	4016.158369
133	4009.89002
134	4006.01323
135	4005.550891
136	4004.531235
137	4003.481837
138	3998.340688
139	3995.003446
140	3991.171359
141	3987.923612
142	3983.183828
143	3976.62388
144	3972.390769
145	3969.136142
146	3966.604656
147	3961.412711
148	3957.675697
149	3955.298996
150	3951.58343
151	3949.031001
152	3945.813631
153	3944.372978
154	3941.166898
155	3935.883507
156	3934.18765
157	3931.506502
158	3927.08353
159	3923.837688
160	3921.337215
161	3918.67818
162	3916.950234
163	3914.298505
164	3909.295676
165	3906.133097
166	3898.937304
167	3897.818457
168	3896.802806
169	3892.591689
170	3888.349676
171	3882.918592
172	3880.628571
173	3877.881694
174	3873.460944
175	3868.34066
176	3865.034707
177	3863.394726
178	3858.022304
179	3855.085578
180	3848.357787
181	3846.667868
182	3845.257996
183	3841.91635
184	3839.739087
185	3836.210397
186	3833.891725
187	3832.541647
188	3828.247459
189	3826.997713
190	3825.608193
191	3823.134805
192	3820.145558
193	3816.903859
194	3816.617204
195	3815.308658
196	3812.403365
197	3811.758903
198	3810.632647
199	3806.64384
200	3802.517471
201	3801.459912
202	3796.105038
203	3793.768135
204	3788.414477
205	3786.419565
206	3784.994227
207	3779.660809
208	3777.445253
209	3775.575128
210	3773.434818
211	3770.722464
212	3768.162046
213	3767.204264
214	3765.691527
215	3763.710025
216	3761.539036
217	3760.504656
218	3759.140625
219	3757.871627
220	3754.999491
221	3753.802788
222	3751.197938
223	3747.719855
224	3746.35723
225	3743.518455
226	3742.281052
227	3740.240812
228	3737.479846
229	3736.015701
230	3733.817645
231	3732.400184
232	3727.822524
233	3725.91392
234	3724.140409
235	3722.765637
236	3719.745917
237	3718.849348
238	3716.174501
239	3714.779011
240	3713.77538
241	3708.549317
242	3706.671665
243	3703.793313
244	3701.815813
245	3699.570444
246	3699.036682
247	3697.647343
248	3694.865474
249	3691.57394
250	3686.701253
251	3685.305958
252	3683.044335
253	3681.621951
254	3680.133723
255	3677.628483
256	3676.893945
257	3672.201984
258	3665.913882
259	3665.364292
260	3664.179793
261	3663.473073
262	3661.26093
263	3659.38396
264	3657.911904
265	3655.533501
266	3654.800127
267	3653.611656
268	3649.974867
269	3646.78636
270	3645.369619
271	3644.429223
272	3640.046322
273	3638.260668
274	3636.030197
275	3633.330019
276	3632.984692
277	3629.241709
278	3628.018504
279	3627.524653
280	3626.39105
281	3622.084162
282	3617.582845
283	3616.971628
284	3616.474178
285	3613.154711
286	3610.656006
287	3608.785792
288	3607.600934
289	3605.408727
290	3604.841642
291	3604.236127
292	3602.184977
293	3601.300767
294	3600.874382
295	3598.794459
296	3595.772544
297	3591.987687
298	3589.748908
299	3588.611648
300	3583.104003
301	3579.168838
302	3577.381673
303	3574.779799
304	3571.975059
305	3570.083407
306	3565.737661
307	3562.146086
308	3559.567701
309	3559.091484
310	3554.694024
311	3551.763554
312	3550.414744
313	3548.721347
314	3543.984044
315	3542.060075
316	3540.971959
317	3537.042981
318	3536.513699
319	3533.900973
320	3530.452591
321	3528.760747
322	3526.558313
323	3524.94196
324	3521.100135
325	3519.804613
326	3517.662745
327	3513.968967
328	3509.796427
329	3507.590067
330	3505.032117
331	3502.737932
332	3501.617149
333	3501.124093
334	3495.955292
335	3491.646206
336	3489.693056
337	3487.107695
338	3483.060011
339	3481.174523
340	3480.29687
341	3477.10449
342	3475.063459
343	3471.300625
344	3469.021568
345	3468.629225
346	3465.335303
347	3463.021328
348	3459.197866
349	3456.831961
350	3452.916222
351	3450.855547
352	3447.089552
353	3446.529469
354	3445.800646
355	3444.210824
356	3440.882744
357	3437.174989
358	3433.606697
359	3432.410869
360	3431.426054
361	3426.821633
362	3422.866396
363	3421.347391
364	3417.828139
365	3415.471011
366	3413.790293
367	3412.559891
368	3409.108576
369	3406.921768
370	3405.623979
371	3404.88692
372	3403.732436
373	3400.676448
374	3396.756739
375	3393.640069
376	3391.193266
377	3390.148781
378	3386.397603
379	3383.979398
380	3382.121206
381	3381.247629
382	3380.089813
383	3378.512114
384	3376.967313
385	3375.762525
386	3372.847649
387	3370.204224
388	3369.285873
389	3368.185576
390	3367.762606
391	3366.552494
392	3365.865336
393	3365.339767
394	3362.264198
395	3360.398577
396	3357.188265
397	3356.006371
398	3353.842252
399	3352.799951
400	3351.686642
401	3350.68785
402	3347.217613
403	3343.561683
404	3340.254411
405	3339.686833
406	3336.52521
407	3334.147372
408	3332.348003
409	3329.525324
