iter	Passed	Remaining
0	1	1323
1	1	893
2	1	649
3	2	604
4	2	566
5	3	551
6	3	543
7	4	521
8	4	500
9	4	484
10	5	456
11	5	446
12	5	439
13	5	417
14	6	411
15	6	404
16	6	402
17	7	402
18	7	397
19	8	398
20	8	398
21	8	394
22	9	382
23	9	379
24	9	376
25	9	366
26	10	363
27	10	357
28	10	359
29	11	356
30	11	356
31	11	354
32	12	352
33	12	344
34	12	342
35	12	342
36	13	342
37	13	338
38	13	336
39	14	336
40	14	331
41	14	329
42	14	330
43	15	326
44	15	326
45	15	323
46	16	325
47	16	323
48	16	322
49	16	321
50	17	317
51	17	327
52	18	327
53	18	329
54	19	331
55	19	331
56	19	327
57	20	326
58	20	323
59	20	323
60	20	322
61	21	319
62	21	318
63	21	317
64	22	316
65	22	316
66	22	312
67	22	313
68	23	313
69	23	312
70	23	312
71	24	312
72	24	310
73	24	309
74	25	310
75	25	311
76	25	310
77	26	310
78	26	311
79	27	310
80	27	310
81	27	310
82	28	311
83	28	311
84	28	309
85	29	310
86	29	308
87	29	308
88	29	305
89	30	304
90	30	305
91	30	304
92	31	303
93	31	303
94	31	303
95	31	301
96	32	298
97	32	297
98	32	296
99	32	296
100	33	295
101	33	295
102	33	295
103	34	295
104	34	294
105	34	294
106	35	294
107	35	293
108	35	294
109	36	294
110	36	293
111	36	292
112	37	292
113	37	292
114	37	291
115	38	290
116	38	290
117	39	291
118	39	292
119	40	293
120	40	293
121	40	293
122	41	293
123	41	292
124	41	292
125	42	291
126	42	291
127	42	291
128	43	290
129	43	290
130	43	290
131	44	290
132	44	289
133	44	289
134	45	288
135	45	287
136	45	285
137	45	284
138	45	284
139	46	283
140	46	283
141	46	283
142	47	284
143	47	284
144	48	284
145	48	284
146	48	283
147	49	283
148	49	283
149	49	282
150	50	282
151	50	282
152	51	282
153	51	282
154	51	281
155	51	281
156	52	280
157	52	280
158	52	279
159	53	280
160	53	281
161	54	280
162	54	279
163	54	279
164	55	279
165	55	278
166	55	278
167	56	277
168	56	277
169	56	276
170	56	276
171	57	276
172	57	275
173	57	275
174	58	274
175	58	274
176	58	273
177	59	273
178	59	273
179	59	272
180	60	272
181	60	271
182	60	271
183	61	271
184	61	271
185	61	270
186	62	270
187	62	269
188	62	269
189	63	269
190	63	269
191	63	268
192	64	268
193	64	268
194	64	266
195	65	266
196	65	266
197	65	265
198	65	265
199	66	264
200	66	264
201	66	264
202	67	263
203	67	262
204	67	262
205	67	262
206	68	262
207	68	262
208	69	262
209	69	261
210	70	261
211	70	261
212	70	260
213	70	260
214	71	260
215	71	259
216	71	259
217	72	259
218	72	259
219	73	259
220	73	260
221	74	259
222	74	259
223	74	259
224	75	259
225	75	259
226	75	258
227	76	258
228	76	258
229	77	257
230	77	257
231	77	257
232	78	257
233	78	256
234	78	256
235	79	256
236	79	256
237	79	256
238	80	256
239	80	255
240	81	255
241	81	254
242	81	254
243	82	254
244	82	253
245	82	253
246	83	253
247	83	252
248	83	252
249	84	252
250	84	251
251	84	251
252	85	251
253	85	250
254	85	250
255	86	250
256	86	249
257	86	249
258	86	248
259	87	248
260	87	247
261	87	247
262	88	247
263	88	247
264	89	247
265	89	247
266	89	247
267	90	246
268	90	246
269	91	246
270	91	246
271	91	245
272	92	245
273	92	244
274	92	244
275	93	244
276	93	243
277	93	243
278	94	243
279	94	242
280	94	242
281	95	242
282	95	241
283	95	241
284	96	241
285	96	240
286	96	240
287	97	240
288	97	239
289	97	239
290	98	239
